time_s,video_payload_mbps,rf_capacity_mbps,buffer_mb,latency_ms,drop_flag
3.92,38.9131991998767,28.0366038836815,3.35312481318592,968.880062653622,0
3.96,41.2350825537684,36.1178459016928,3.3804609964463,756.089367134364,0
4,38.5133782579611,36.4467455321229,3.39254416007549,751.878123097036,0
4.04,40.2334445643791,31.4244302194261,3.43833923180025,885.188035956529,0
4.08,41.5880741529365,44.0627113532526,3.42771604579867,627.31703244825,0
4.12,37.7870025422271,35.9414922088669,3.43869359746547,772.924850081739,0
4.16,37.338229768969,28.1856510226523,3.48620649119706,1001.93999080101,0
4.2,34.3437707399844,36.2338490442347,3.47850609967581,775.503451792539,0
4.24,36.189702047702,36.2897301053919,3.47975595938736,774.575868919016,0
4.28,35.036734787714,26.1926212052119,3.52572652729987,1091.44548435785,0
4.32,33.5683003884314,30.2791134755565,3.54392246186424,947.284312917217,0
4.36,35.0200653755239,27.0649204550947,3.58544818646639,1073.69159267929,0
4.4,35.1893185508669,25,3.63814477922072,1180.73664234344,0
4.44,35.0943163187339,37.987610013702,3.62542831074588,770.596923540265,0
4.48,35.9924248597128,25.6512225049423,3.67888432251973,1163.2273726856,0
4.52,34.1784898352623,25,3.72652677169605,1209.42045328878,0
4.56,31.5853479717157,25,3.76120351155462,1220.6745676445,0
4.6,32.8802021456728,25.1227011490945,3.80174101653752,1227.71949450542,0
4.64,27.8362814087872,25,3.81767242358145,1239.00119223739,0
4.68,33.0089341282645,32.4477250533233,3.82222846895616,952.647818524551,0
4.72,32.6114323466966,39.4833963031205,3.78961864917404,774.707846938775,0
4.76,33.8535515293466,38.7058741290151,3.7671070361757,785.716841911522,0
4.8,30.9633144123784,35.2095302946644,3.74762595676427,860.051968591873,0
4.84,34.235460686461,29.5029199437107,3.77303866047802,1035.37859473785,0
4.88,31.5558232229312,28.0189634035957,3.7924729595747,1096.52765931429,0
4.92,31.7162615671935,36.3404463189743,3.77110203581579,838.245128141722,0
4.96,29.7384360427963,32.8599555523093,3.75724443826823,924.576948675979,0
5,32.5591503353848,29.5303194427763,3.77413859273127,1034.70795791184,0
5.04,31.49496082592,28.8113648988779,3.78930657236648,1065.10888309952,0
5.08,32.2078291404612,29.9581673766532,3.80230488118552,1027.36649190486,0
5.12,35.4286550469405,36.1608249701727,3.80039403156936,848.993349856589,0
5.16,33.8043451132417,37.3134349817759,3.78459858222669,819.101056834705,0
5.2,32.4950815375031,37.8287765734683,3.75968010704686,802.519281743766,0
5.24,32.6542008358023,25,3.79970111122587,1233.16871763923,0
5.28,31.095907722436,28.3439116174502,3.8152110917508,1090.29738862862,0
